feature,importance
is_soft_decline,3610.3051319122314
risk_skip_flag,3236.7366766929626
response_code,2065.8711733818054
interchange_estimate_bps,1836.7523217201233
processor_name,1036.4289875030518
scheme_fee_bps,935.5959877967834
scheme_ms,909.8697466850281
processor_fee_bps,902.9350123405457
card_country,887.5990762710571
merchant_vertical,868.64657330513
amount,675.944221496582
latency_ms,668.3577919006348
risk_score,648.7326221466064
latency_auth_ms,626.2867383956909
amount_usd,623.7389407157898
event_hour,571.2797181606293
ip_country,519.500569820404
latency_3ds_ms,495.8111023902893
archetype,488.58840322494507
shipping_country,453.70357179641724
three_ds_eci,244.19529056549072
merchant_country,230.08537030220032
merchant_mcc,228.62527060508728
mastercard_advice_code,223.99464893341064
event_dayofweek,223.08863067626953
event_month,171.2319507598877
billing_country,162.43074131011963
card_type,126.9150402545929
response_message,105.06981897354126
settlement_currency,76.69265985488892
issuer_size,69.81888961791992
present_mode,63.00376892089844
issuer_country,62.06447982788086
user_agent_family,61.009779930114746
network_token_present,59.7138295173645
three_ds_flow,59.06708908081055
three_ds_version,58.505539417266846
decline_bucket,50.60652160644531
cvv_result,48.45414066314697
device_os,43.6804404258728
is_token,38.303470611572266
avs_zip_match,37.1083402633667
three_ds_requested,31.760650157928467
smart_routed,27.38254976272583
currency,23.622129917144775
is_cross_border,16.7123703956604
scheme_response_code,15.565999984741211
card_funding_source,15.106770038604736
card_commercial_type,11.93710994720459
routing_optimized,9.67300033569336
cardholder_verification_method,8.46111011505127
avs_result,8.107979774475098
is_weekend,6.237130165100098
card_brand,5.425189971923828
token_type,5.233129978179932
fx_rate,5.108980178833008
account_updater_used,4.7191901206970215
routing_reason,0.0
latency_bucket,0.0
sca_exemption,0.0
three_ds_outcome,0.0
fx_applied,0.0
entry_mode,0.0
risk_model_version,0.0
fraud_flag,0.0
timeout_flag,0.0
issuer_bank_country,0.0
payment_method_details,0.0
avs_street_match,0.0
wallet_type,0.0
pan_entry_mode,0.0
payment_method,0.0
card_product_type,0.0
card_category,0.0
mcc_routing_optimized,0.0
routed_network,0.0
transaction_type,0.0
fx_bps,0.0
